,name,description
339,CLIJ2 Reslice Top,"Flippes Y and Z axis of an image stack. This operation is similar to ImageJs 'Reslice [/]' method but<br/>offers less flexibility such as interpolation.<br/><br/>Parameters: Image source, ByRef Image destination<br/>Available for: 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
340,CLIJ2 Results Table Column To Image,"Converts a table column to an image. <br/><br/>The values are stored in x dimension.<br/><br/>Parameters: ByRef Image destination, String column_name<br/>Available for: 2D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
341,CLIJ2 Rigid Transform,"Applies a rigid transform using linear interpolation to an image stack.<br/><br/>Parameters: Image input, ByRef Image destination, Number translation_x, Number translation_y, Number translation_z, Number rotation_angle_x, Number rotation_angle_y, Number rotation_angle_z<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
342,CLIJ2 Rotate 2D,"Rotates an image in plane. <br/><br/>All angles are entered in degrees. If the image is not rotated around <br/>the center, it is rotated around the coordinate origin.<br/><br/>It is recommended to apply the rotation to an isotropic image.<br/><br/>Parameters: Image source, ByRef Image destination, Number angle_in_degrees, Boolean rotateAroundCenter<br/>Available for: 2D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
343,CLIJ2 Rotate 3D,"Rotates an image stack in 3D. <br/><br/>All angles are entered in degrees. If the image is not rotated around <br/>the center, it is rotated around the coordinate origin.<br/><br/>It is recommended to apply the rotation to an isotropic image stack.<br/><br/>Parameters: Image source, ByRef Image destination, Number angle_x_in_degrees, Number angle_y_in_degrees, Number angle_z_in_degrees, Boolean rotateAroundCenter<br/>Available for: 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
344,CLIJ2 Rotate Clockwise,"Rotates a given input image by 90 degrees clockwise. <br/><br/>For that, X and Y axis of an image stack<br/>are flipped. This operation is similar to ImageJs 'Reslice [/]' method but offers less flexibility <br/>such as interpolation.<br/><br/>Parameters: Image source, ByRef Image destination<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
345,CLIJ2 Rotate Counter Clockwise,"Rotates a given input image by 90 degrees counter-clockwise. <br/><br/>For that, X and Y axis of an image stack<br/>are flipped. This operation is similar to ImageJs 'Reslice [/]' method but offers less flexibility <br/>such as interpolation.<br/><br/>Parameters: Image source, ByRef Image destination<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
346,CLIJ2 Save As Tif,"Pulls an image from the GPU memory and saves it as TIF to disc.<br/><br/>Parameters: Image input, String filename<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
347,CLIJ2 Scale 2D,"Scales an image with a given factor.<br/><br/>Parameters: Image source, ByRef Image destination, Number scaling_factor_x, Number scaling_factor_y, Boolean scale_to_center<br/>Available for: 2D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
348,CLIJ2 Scale 3D,"Scales an image with a given factor.<br/><br/>Parameters: Image source, ByRef Image destination, Number scaling_factor_x, Number scaling_factor_y, Number scaling_factor_z,  Boolean scale_to_center<br/>Available for: 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
349,CLIJ2 Set,"Sets all pixel values x of a given image X to a constant value v.<br/><br/><pre>f(x) = v</pre><br/><br/>Parameters: Image source, Number value<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
350,CLIJ2 Set Column,"Sets all pixel values x of a given column in X to a constant value v.<br/><br/>Parameters: Image source, Number column_index, Number value<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
351,CLIJ2 Set Image Borders,"Sets all pixel values at the image border to a given value.<br/><br/>Parameters: Image destination, Number value<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
352,CLIJ2 Set Non Zero Pixels To Pixel Index,"Sets all pixels in an image which are not zero to the index of the pixel. <br/><br/>This can be used for Connected Components Analysis.<br/><br/>Parameters: Image source, Image destination<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
353,CLIJ2 Set Plane,"Sets all pixel values x of a given plane in X to a constant value v.<br/><br/>Parameters: Image source, Number plane_index, Number value<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
354,CLIJ2 Set Ramp X,"Sets all pixel values to their X coordinate<br/><br/>Parameters: Image source<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
355,CLIJ2 Set Ramp Y,"Sets all pixel values to their Y coordinate<br/><br/>Parameters: Image source<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
356,CLIJ2 Set Ramp Z,"Sets all pixel values to their Z coordinate<br/><br/>Parameters: Image source<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
357,CLIJ2 Set Random,"Fills an image or image stack with uniformly distributed random numbers between given minimum and maximum values. <br/><br/>Recommendation: For the seed, use getTime().<br/><br/>Parameters: Image source, Number minimumValue, Number maximumValue, Number seed<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
358,CLIJ2 Set Row,"Sets all pixel values x of a given row in X to a constant value v.<br/><br/>Parameters: Image source, Number row_index, Number value<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
359,CLIJ2 Set Where Xequals Y,"Sets all pixel values a of a given image A to a constant value v in case its coordinates x == y. <br/><br/>Otherwise the pixel is not overwritten.<br/>If you want to initialize an identity transfrom matrix, set all pixels to 0 first.<br/><br/>Parameters: Image source, Number value<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
360,CLIJ2 Set Where Xgreater Than Y,"Sets all pixel values a of a given image A to a constant value v in case its coordinates x > y. <br/><br/>Otherwise the pixel is not overwritten.<br/>If you want to initialize an identity transfrom matrix, set all pixels to 0 first.<br/><br/>Parameters: Image source, Number value<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
